apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity,deploymentWind
33353.14027385071,784.9982665768662,-14846.515711157665,-2769.9827770811876,-20084.488200184845,-20.63169184204356,187.52735032087787
33955.177688215954,2624.708342327735,-18406.785204059335,-758.0890895991193,-23918.010472098904,-20.684904256158596,226.3458088827668
32586.527503829635,3622.1068120696127,-19068.468041311873,537.7646695393188,-24550.242959642685,-20.388025282575178,246.08890046753368
31204.619104631845,9102.633046647787,-14808.613406748986,6724.865064628856,-19523.888687101717,-20.79829790199551,225.86935693980584
33701.16685745108,2605.106034323271,-12243.45209582146,-692.781985915851,-16678.973594029496,-20.323954839627966,152.7100237443111
34912.09228757223,5212.0967387241135,-10203.737735954297,2715.226282189071,-14492.346428038058,-20.479433140945996,137.2340036664138
39518.740426493336,7945.780223999026,-7053.682071327405,4557.938609443733,-10436.522864075663,-20.647238506876935,121.66452612446106
29929.588916196055,4383.67695039965,-13633.172596051738,1997.63851312994,-17764.28476423273,-20.65033119209931,185.51928130352405
39560.87837901939,1867.5544229525187,2060.519033737286,-2891.2956367748093,605.920215841135,-20.590167803256893,33.01591457924172
30553.76093126246,3156.1896893027188,-9135.424362655345,-388.5776984993258,-12793.731880249645,-20.588345088152856,124.90859246219873
30194.18906236554,4380.026359933065,-16176.901859659103,1924.3205029777102,-20699.63377044727,-20.677519308160008,217.66592474073326
42036.76549317691,3101.498716857151,-11140.943029585125,-1801.1511421710368,-15387.464293621815,-20.53420643776349,126.94626622526933
28391.97321223649,3873.915368179654,-22317.93594630276,570.5047554376869,-27900.12910933457,-20.781657649853173,306.12946565173127
36833.54841625023,5403.035791334419,-19417.01909661524,2511.404807562363,-25355.836628374414,-20.91788572501513,234.72331687260547
36655.85415974464,9368.771119743134,-22350.2203440573,6211.833711365549,-28756.504976778328,-20.616849672890044,289.73096516884425
42281.93008990497,92.21269155772771,-7317.492614003138,-4758.5737598118685,-11059.486252986046,-20.539629304567587,79.32336310361414
43229.97272375341,383.99796488643636,-18198.27773003828,-4658.840046927219,-24005.217049347164,-20.640521614872867,199.72554931308034
